"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/04/2024","116,300.0","118,000.0","124,600.0","115,200.0","423.30K","-0.17%"
"29/03/2024","116,500.0","117,100.0","125,200.0","114,000.0","1.34M","-0.51%"
"28/03/2024","117,100.0","115,500.0","123,200.0","115,300.0","2.80M","1.65%"
"27/03/2024","115,200.0","115,400.0","123,000.0","107,000.0","1.32M","0.17%"
"26/03/2024","115,000.0","114,000.0","121,900.0","107,200.0","1.69M","0.88%"
"25/03/2024","114,000.0","117,100.0","122,900.0","113,800.0","2.79M","-0.78%"
"22/03/2024","114,900.0","118,400.0","124,300.0","114,500.0","2.41M","-1.12%"
"21/03/2024","116,200.0","115,200.0","116,200.0","114,600.0","3.76M","1.48%"
"20/03/2024","114,500.0","112,300.0","115,000.0","111,100.0","3.48M","2.23%"
"19/03/2024","112,000.0","113,000.0","113,000.0","111,100.0","3.32M","-0.88%"
"18/03/2024","113,000.0","115,800.0","115,800.0","111,100.0","5.88M","-2.59%"
"15/03/2024","116,000.0","116,800.0","116,800.0","114,500.0","3.84M","-0.85%"
"14/03/2024","117,000.0","118,500.0","118,500.0","115,700.0","3.46M","0.00%"
"13/03/2024","117,000.0","112,800.0","117,000.0","112,000.0","5.11M","4.56%"
"12/03/2024","111,900.0","110,000.0","113,500.0","110,000.0","2.91M","1.73%"
"11/03/2024","110,000.0","110,000.0","113,500.0","110,000.0","3.38M","0.00%"
"08/03/2024","110,000.0","111,300.0","112,600.0","109,500.0","3.12M","-1.17%"
"07/03/2024","111,300.0","109,100.0","113,900.0","108,200.0","4.04M","2.11%"
"06/03/2024","109,000.0","110,000.0","110,400.0","108,700.0","2.51M","-1.54%"
"05/03/2024","110,700.0","111,400.0","111,400.0","109,900.0","3.38M","-0.63%"
"04/03/2024","111,400.0","111,000.0","111,800.0","110,800.0","3.09M","0.54%"
"01/03/2024","110,800.0","109,200.0","111,400.0","109,100.0","4.02M","1.65%"
